Order ID,Order Date,Customer ID,City,Product,Category,Quantity,Price,Revenue,Month
1,2023-01-01,1642,Hyderabad,Smartwatch,Gadgets,6.0,174.0,1044,1
2,2023-01-02,1111,Chennai,Mobile,Electronics,6.0,3163.0,18978,1
3,2023-01-03,1677,Hyderabad,Mobile,Electronics,4.0,648.0,2592,1
4,2023-01-04,1883,Chennai,Laptop,Electronics,7.0,4627.0,32389,1
5,2023-01-05,1260,Mumbai,Laptop,Accessories,4.0,4882.0,19528,1
6,2023-01-06,1480,,Tablet,Accessories,3.0,4103.0,12309,1
7,2023-01-07,1777,Mumbai,Smartwatch,Accessories,1.0,4367.0,4367,1
8,2023-01-08,1498,Bangalore,Tablet,Accessories,9.0,3530.0,31770,1
9,2023-01-09,1266,Hyderabad,Headphones,Electronics,9.0,4670.0,42030,1
10,2023-01-10,1226,Hyderabad,Smartwatch,Accessories,1.0,4474.0,4474,1
11,2023-01-11,1512,Delhi,Smartwatch,Electronics,6.0,,12066,1
12,2023-01-12,1416,Hyderabad,Mobile,Accessories,3.0,4275.0,12825,1
13,2023-01-13,1493,Mumbai,Tablet,Gadgets,2.0,938.0,1876,1
14,2023-01-14,1925,Chennai,Headphones,Gadgets,5.0,3307.0,16535,1
15,2023-01-15,1078,Chennai,Tablet,Accessories,3.0,1349.0,4047,1
16,2023-01-16,1639,Delhi,Mobile,Electronics,7.0,2064.0,14448,1
17,2023-01-17,1554,Mumbai,Tablet,Gadgets,7.0,1171.0,8197,1
18,2023-01-18,1851,Mumbai,Tablet,Gadgets,8.0,1250.0,10000,1
19,2023-01-19,1602,Bangalore,Headphones,Gadgets,9.0,802.0,7218,1
20,2023-01-20,1548,Bangalore,Tablet,Gadgets,7.0,4996.0,34972,1
21,2023-01-21,1463,Delhi,Laptop,Accessories,,4096.0,28672,1
22,2023-01-22,1956,Bangalore,Laptop,Gadgets,6.0,1733.0,10398,1
23,2023-01-23,1123,Delhi,Smartwatch,Electronics,3.0,4623.0,13869,1
24,2023-01-24,1156,Mumbai,Headphones,Electronics,9.0,4113.0,37017,1
25,2023-01-25,1143,Chennai,Headphones,Electronics,7.0,3047.0,21329,1
26,2023-01-26,1607,Chennai,Laptop,Electronics,6.0,3232.0,19392,1
27,2023-01-27,1062,Chennai,Mobile,Electronics,1.0,3242.0,3242,1
