Order ID,Order Date,Customer ID,City,Product,Category,Quantity,Price,Revenue
1,2023-01-01,1242,Delhi,Tablet,Accessories,5.0,180.0,900
2,2023-01-02,1714,Bangalore,Laptop,Electronics,3.0,4300.0,12900
3,2023-01-03,1331,Mumbai,Headphones,Gadgets,2.0,3782.0,7564
4,2023-01-04,1564,Hyderabad,Laptop,Gadgets,3.0,1756.0,5268
5,2023-01-05,1592,Bangalore,Tablet,Gadgets,3.0,1477.0,4431
6,2023-01-06,1143,,Mobile,Accessories,5.0,4434.0,22170
7,2023-01-07,1526,Delhi,Mobile,Accessories,2.0,3802.0,7604
8,2023-01-08,1930,Delhi,Headphones,Electronics,8.0,3024.0,24192
9,2023-01-09,1270,Chennai,Smartwatch,Gadgets,7.0,4224.0,29568
10,2023-01-10,1748,Delhi,Smartwatch,Gadgets,8.0,925.0,7400
11,2023-01-11,1357,Hyderabad,Laptop,Accessories,7.0,,34475
12,2023-01-12,1757,Mumbai,Smartwatch,Gadgets,9.0,2294.0,20646
13,2023-01-13,1048,Delhi,Tablet,Accessories,5.0,233.0,1165
14,2023-01-14,1019,Chennai,Headphones,Accessories,4.0,4550.0,18200
15,2023-01-15,1277,Bangalore,Mobile,Gadgets,4.0,4771.0,19084
16,2023-01-16,1970,Delhi,Headphones,Electronics,8.0,1463.0,11704
17,2023-01-17,1993,Mumbai,Smartwatch,Electronics,8.0,4552.0,36416
18,2023-01-18,1477,Chennai,Smartwatch,Gadgets,9.0,2922.0,26298
19,2023-01-19,1042,Hyderabad,Smartwatch,Accessories,9.0,3047.0,27423
20,2023-01-20,1607,Bangalore,Laptop,Gadgets,9.0,3662.0,32958
21,2023-01-21,1999,Delhi,Smartwatch,Gadgets,,4552.0,4552
22,2023-01-22,1430,Bangalore,Laptop,Gadgets,3.0,1354.0,4062
23,2023-01-23,1308,Mumbai,Smartwatch,Electronics,7.0,2210.0,15470
24,2023-01-24,1230,Mumbai,Tablet,Electronics,1.0,3693.0,3693
25,2023-01-25,1396,Chennai,Mobile,Accessories,5.0,4044.0,20220
26,2023-01-26,1162,Delhi,Headphones,Accessories,2.0,1200.0,2400
27,2023-01-27,1691,Mumbai,Tablet,Gadgets,7.0,4807.0,33649
28,2023-01-28,1448,Mumbai,Laptop,Electronics,9.0,1340.0,12060
29,2023-01-29,1349,Mumbai,Smartwatch,Gadgets,9.0,3995.0,35955
30,2023-01-30,1281,Bangalore,Mobile,Accessories,8.0,3716.0,29728
31,2023-01-31,1031,Mumbai,Tablet,Electronics,3.0,2215.0,6645
32,2023-02-01,1808,Chennai,Laptop,Gadgets,1.0,4550.0,4550
33,2023-02-02,1277,Mumbai,Headphones,Gadgets,4.0,4545.0,18180
34,2023-02-03,1438,Chennai,Mobile,Gadgets,8.0,4497.0,35976
35,2023-02-04,1624,Bangalore,Tablet,Gadgets,4.0,2106.0,8424
36,2023-02-05,1754,Mumbai,Smartwatch,Electronics,4.0,4739.0,18956
37,2023-02-06,1238,Chennai,Smartwatch,Electronics,1.0,4242.0,4242
38,2023-02-07,1038,Hyderabad,Mobile,Electronics,8.0,2899.0,23192
39,2023-02-08,1530,Delhi,Tablet,Electronics,5.0,399.0,1995
40,2023-02-09,1315,Bangalore,Laptop,Accessories,7.0,2968.0,20776
41,2023-02-10,1152,Bangalore,Headphones,Accessories,7.0,1127.0,7889
42,2023-02-11,1656,Chennai,Tablet,Gadgets,7.0,3280.0,22960
43,2023-02-12,1116,Chennai,Mobile,Gadgets,2.0,456.0,912
44,2023-02-13,1867,Chennai,Smartwatch,Accessories,9.0,3181.0,28629
45,2023-02-14,1308,Hyderabad,Laptop,Accessories,2.0,3544.0,7088
46,2023-02-15,1537,Hyderabad,Headphones,Accessories,4.0,1313.0,5252
47,2023-02-16,1519,Delhi,Tablet,Electronics,7.0,932.0,6524
48,2023-02-17,1962,Delhi,Smartwatch,Electronics,7.0,3750.0,26250
49,2023-02-18,1785,Bangalore,Tablet,Gadgets,8.0,4422.0,35376
50,2023-02-19,1009,Hyderabad,Smartwatch,Electronics,3.0,852.0,2556
51,2023-02-20,1992,Delhi,Tablet,Electronics,6.0,3985.0,23910
52,2023-02-21,1431,Bangalore,Tablet,Accessories,2.0,3351.0,6702
53,2023-02-22,1888,Hyderabad,Laptop,Electronics,2.0,232.0,464
54,2023-02-23,1288,Chennai,Smartwatch,Gadgets,3.0,1113.0,3339
55,2023-02-24,1351,Mumbai,Smartwatch,Accessories,5.0,2359.0,11795
56,2023-02-25,1594,Delhi,Smartwatch,Accessories,7.0,4573.0,32011
57,2023-02-26,1698,Hyderabad,Headphones,Electronics,3.0,547.0,1641
58,2023-02-27,1634,Mumbai,Mobile,Gadgets,9.0,4146.0,37314
59,2023-02-28,1880,Chennai,Mobile,Gadgets,4.0,4943.0,19772
60,2023-03-01,1046,Delhi,Smartwatch,Electronics,1.0,1881.0,1881
61,2023-03-02,1086,Mumbai,Smartwatch,Gadgets,2.0,4235.0,8470
62,2023-03-03,1075,Delhi,Tablet,Accessories,5.0,3178.0,15890
63,2023-03-04,1595,Hyderabad,Mobile,Electronics,3.0,2332.0,6996
64,2023-03-05,1280,Hyderabad,Laptop,Accessories,3.0,2754.0,8262
65,2023-03-06,1085,Mumbai,Smartwatch,Accessories,9.0,294.0,2646
66,2023-03-07,1658,Mumbai,Headphones,Accessories,8.0,3777.0,30216
67,2023-03-08,1531,Bangalore,Smartwatch,Accessories,7.0,2048.0,14336
68,2023-03-09,1708,Chennai,Mobile,Gadgets,9.0,1845.0,16605
69,2023-03-10,1286,Hyderabad,Mobile,Gadgets,5.0,2679.0,13395
70,2023-03-11,1207,Bangalore,Tablet,Electronics,2.0,1220.0,2440
71,2023-03-12,1996,Delhi,Smartwatch,Gadgets,8.0,2653.0,21224
72,2023-03-13,1520,Delhi,Headphones,Electronics,8.0,1794.0,14352
73,2023-03-14,1864,Chennai,Mobile,Gadgets,7.0,3897.0,27279
74,2023-03-15,1445,Delhi,Laptop,Accessories,4.0,320.0,1280
75,2023-03-16,1902,Bangalore,Smartwatch,Accessories,5.0,462.0,2310
76,2023-03-17,1067,Chennai,Smartwatch,Gadgets,6.0,3460.0,20760
77,2023-03-18,1282,Bangalore,Mobile,Electronics,8.0,473.0,3784
78,2023-03-19,1907,Chennai,Smartwatch,Gadgets,1.0,807.0,807
79,2023-03-20,1908,Mumbai,Mobile,Accessories,7.0,4725.0,33075
80,2023-03-21,1391,Chennai,Tablet,Gadgets,7.0,704.0,4928
81,2023-03-22,1853,Bangalore,Mobile,Gadgets,6.0,3892.0,23352
82,2023-03-23,1251,Delhi,Headphones,Electronics,3.0,3981.0,11943
83,2023-03-24,1064,Delhi,Smartwatch,Electronics,9.0,609.0,5481
84,2023-03-25,1134,Bangalore,Smartwatch,Electronics,8.0,1764.0,14112
85,2023-03-26,1772,Delhi,Mobile,Accessories,8.0,842.0,6736
86,2023-03-27,1499,Hyderabad,Laptop,Gadgets,6.0,3469.0,20814
87,2023-03-28,1792,Hyderabad,Tablet,Electronics,6.0,2988.0,17928
88,2023-03-29,1516,Delhi,Laptop,Accessories,2.0,1455.0,2910
89,2023-03-30,1322,Mumbai,Smartwatch,Electronics,5.0,3283.0,16415
90,2023-03-31,1458,Delhi,Mobile,Accessories,9.0,2698.0,24282
91,2023-04-01,1339,Bangalore,Smartwatch,Gadgets,8.0,3062.0,24496
92,2023-04-02,1888,Mumbai,Laptop,Electronics,9.0,728.0,6552
93,2023-04-03,1928,Delhi,Smartwatch,Gadgets,9.0,4686.0,42174
94,2023-04-04,1383,Mumbai,Laptop,Electronics,2.0,4229.0,8458
